Player,IGN,Item,Note 1,Note 2,Player.1,IGN.1,Class.1,Spec.1,Token.1,Role.1,Class,Spec,Token,Role
saif,sanddiglett,Blackhorn's Mighty Bulwark - Item - Cataclysm Classic,offspec,unsure if correct item,saif,sanddiglett,Paladin,Retribution,Conqueror,DPS,Paladin,Retribution,Conqueror,DPS
borran,borran,Crown of the Corrupted Protector - Item - Cataclysm Classic,,,borran,borran,Shaman,Elemental,Protector,DPS,Shaman,Elemental,Protector,DPS
albear,albear,Molten Blood Footpads - Item - Cataclysm Classic,,,albear,albear,Druid,Feral,Vanquisher,Offtank,Druid,Feral,Vanquisher,Offtank
albear,albear,Wrath of Unchaining - Item - Cataclysm Classic,,,ben,bestdk,DK,Frost,Vanquisher,DPS,Druid,Feral,Vanquisher,Offtank
guildie,,,,,myggan,imlegalqt,Shaman,Enhancement,Protector,DPS,,,,
guildie,,,,,chris,delusive,Rogue,Combat,Vanquisher,DPS,,,,
guildie,,,,,moruse,moruse,Druid,Balance,Vanquisher,DPS,,,,
guildie,,,,,guildie,ricardo,Warrior,Arms,Protector,DPS,,,,
guildie,,,,,saoki,saokipriest,Priest,Discipline,Conqueror,Healer,,,,
guildie,,,,,matt,nicegaff,Paladin,Holy,Conqueror,Healer,,,,
